 ,Area,Mean,Min,Max,Angle,Length
1,269.912,30.138,16.333,76.667,180,128.331
2,239.921,30.482,18.000,56.333,180,113.842
3,257.059,33.419,14.537,70.000,180,122.812
4,269.912,39.984,18.667,101.000,180,128.331
5,252.774,35.914,21.207,64.000,180,119.362
6,244.206,34.773,13.768,81.000,180,116.602
7,265.627,42.207,20.365,106.000,180,125.573
8,287.049,41.605,23.159,100.333,180,137.302
9,282.765,33.308,15.988,67.667,180,133.851
10,278.480,29.737,15.111,82.778,180,132.471
11,312.755,33.742,19.160,86.000,180,148.340
12,321.323,32.049,15.602,53.889,180,152.481
