 ,Area,Mean,Min,Max,Angle,Length
1,309.671,43.339,28.417,145.250,0.000,146.209
2,331.176,42.518,30.447,93.000,0.000,158.134
3,335.477,44.828,30.306,103.000,-0.744,158.653
4,348.380,45.892,28.234,95.000,0.716,165.911
5,331.176,46.857,28.368,115.434,0.000,156.578
6,331.176,50.370,29.000,165.250,0.000,157.615
7,292.467,45.165,33.575,131.125,0.000,138.432
8,326.875,43.966,27.173,137.125,0.000,155.023
9,331.176,50.748,29.112,154.946,0.000,156.578
10,322.574,49.639,26.733,145.961,0.000,153.986
11,305.370,40.304,27.150,101.375,0.000,144.135
12,292.467,40.735,28.000,109.000,0.000,138.950
13,296.768,42.092,31.000,112.000,0.000,139.987
